"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Sunflower silage",NA,"0","100","50.434","11.265","51.441","8.451","0","0","8.668","11.9","2.785","47.241","7.846","63.348","2.29","1.42","0.836","28","2.582","20","20","5","56.1","75","75","41","0.319","0.113","0.319","0.618","0.319","0.075","0","0.394","0","0.319","0.507","0.431","1.258","0.567","0.567","1.184","3.268","0.027","0.237","0.27","12.601","0","839.614","39.823","0","424.209","175.4","0","0"
"Sunflowers",NA,"0","0","94.049","20.079","42.925","6.797","0","0","33.751","3.763","0.834","37.382","8.542","71.68","2.592","1.686","1.074","22.125","6.139","25","25","6","75.3","75","75","100","2.088","0.63","0.757","1.271","0.773","0.126","0","1.175","0","0.693","0.349","1.058","0.418","0.375","0.375","0.104","1.141","0.019","0.234","0","20.879","0","88.969","28.019","1","56.79","0","0","0"
"Switchgrass hay",NA,"0","100","94.204","3.39","25","8.75","0","0","1.2","3.415","5.88","81.067","6.63","46.115","1.667","0.829","0.29","50","3.67","30","30","3","73.3","75","75","98","0.096","0.034","0.096","0.186","0.096","0.023","0","0.119","0","0.096","0.153","0.13","0.335","0.468","0.468","0","0.968","0.069","0.078","0","3.6","0","0","82.77","0","11.75","0","0","0"
"Teff (lovegrass) hay",NA,"0","100","87.951","10.744","25","16.875","0","0","1.1","10.5","6.4","66.395","17.01","45","1.627","0.789","0.252","25","5.075","30","30","5.5","49.3","75","75","92","0.687","0.281","0.646","0.995","0.647","0.078","0","0.679","0","0.537","0.198","0.767","0.473","0.187","0.187","0","1.613","0.08","0.222","0.406","7","0","170","52","0.55","20","19.3","1","0"
"Timothy hay",NA,"0","100","87.831","9.442","25","6.1","14.15","0","1.933","8.5","7.436","63.811","4.754","57","2.061","1.209","0.644","31","3.631","30","30","3","74","75","75","98","0.267","0.094","0.267","0.518","0.267","0.063","0","0.33","0","0.267","0.425","0.362","0.417","0.185","0.185","0","1.916","0.01","0.163","0","6","0","150","56.1","1.55","17","88.9","2","0"
"Triticale forage, fresh",NA,"0","100","26.009","15.333","50.1","4.246","0.8","0","2.889","8.906","1.698","56.592","3.516","61.433","2.221","1.357","0.779","22.713","3.077","30","30","3","80.8","75","75","41","0.434","0.153","0.434","0.842","0.434","0.103","0","0.537","0","0.434","0.69","0.587","0.338","0.173","0.173","0.745","2.579","0.047","0.192","0","8.406","0","433.964","62.74","0","35.466","0","0","0"
"Triticale grain",NA,"0","0","88.838","12.129","30.21","2.461","0","0","1.646","1.964","61.041","14.096","1.812","82.723","2.991","2.024","1.367","32.555","10.746","40","40","6","88.4","75","75","0","0.525","0.27","0.483","1.654","0.364","0.119","0","0.587","0","0.342","0.129","0.546","0.072","0.126","0.126","0.119","0.495","0.013","0.147","0.14","5.973","0","52.381","45.697","0.3","35.599","0","0","14.4"
"Triticale hay",NA,"0","100","90.281","11.578","45.869","3.492","0","0","2.092","8.392","5.063","57.73","4.687","58.513","2.115","1.26","0.691","31.095","3.593","30","30","3","74.8","75","75","98","0.328","0.116","0.328","0.636","0.328","0.078","0","0.405","0","0.328","0.521","0.443","0.311","0.147","0.147","0.708","2.035","0.042","0.154","0.397","7.344","0","230.093","42.738","0.07","25.397","15","0","0"
"Triticale silage",NA,"0","100","32.966","13.904","69.675","4.957","1.7","0","3.658","10.739","1.939","58.567","4.706","57.829","2.091","1.237","0.67","18.12","2.582","20","20","5","56.1","75","75","41","0.393","0.139","0.393","0.763","0.393","0.093","0","0.487","0","0.393","0.626","0.533","0.43","0.172","0.172","1.025","2.923","0.046","0.201","1.124","8.84","0","597.782","54.014","0","35.89","175.4","0","0"
"Wheat bran",NA,"0","0","90.104","17.475","39.813","3.202","0","0","4.324","5.485","21.17","40.087","4.149","71.918","2.6","1.694","1.08","35.652","3.243","40","40","4","72.1","75","75","19","1.356","0.517","0.643","1.146","0.641","0.131","0","0.792","0","0.648","0.21","0.944","0.13","0.422","0.422","0.104","1.195","0.026","0.192","0.11","12.431","0.07","165.138","130.591","0.43","79.451","0","0","0"
"Wheat forage fresh",NA,"0","100","34.112","15.319","52.838","4.499","26.3","0","3.003","8.912","4.114","54.155","3.866","61.718","2.231","1.367","0.788","24.361","5.758","25","25","9","79.6","75","75","41","0.434","0.153","0.434","0.841","0.434","0.103","0","0.536","0","0.434","0.689","0.587","0.357","0.164","0.164","0.759","2.421","0.058","0.193","0.573","8.52","0","552.98","53.227","2.38","32.195","254.4","0","0"
"Wheat grain",NA,"0","0","88.94","13.789","29.321","2.4","8.55","0","1.89","2.27","62.417","12.358","1.523","86.847","3.14","2.146","1.471","35.583","10.746","40","40","6","88.4","75","75","0","0.597","0.307","0.549","1.881","0.414","0.135","0","0.667","0","0.389","0.146","0.62","0.076","0.133","0.133","0.234","0.431","0.018","0.149","0.14","5.439","0","60.281","42.962","0.3","29.254","0","0","14.4"
"Wheat grain, flaked",NA,"0","0","82.96","14.422","30","3.125","0","0","1.881","1.968","64.869","13.554","0.731","86.8","3.138","2.145","1.47","26.049","10.746","40","40","6","88.4","75","75","0","0.624","0.322","0.574","1.967","0.433","0.141","0","0.698","0","0.407","0.153","0.649","0.044","0.146","0.146","0.09","0.42","0.02","0.143","0.14","4","0","70","43","0.3","26","0","0","14.4"
"Wheat hay",NA,"0","100","89.914","11.113","40.289","3.936","9.35","0","1.998","8.149","4.678","57.893","4.824","58.842","2.127","1.271","0.701","33.854","3.631","30","30","3","74","75","75","98","0.314","0.111","0.314","0.61","0.314","0.074","0","0.389","0","0.314","0.5","0.426","0.316","0.149","0.149","0.686","1.686","0.047","0.158","0.239","7.002","0","332.962","58.346","0.05","21.041","37.2","0","0"
"Wheat middlings",NA,"0","0","88.848","18.563","40.481","3.426","0","0","4.141","5.368","25.557","38.332","3.664","72.938","2.637","1.726","1.108","31.625","5.712","70","70","6","88","75","75","2","1.292","0.447","0.759","1.368","0.7","0.189","0","0.88","0","0.681","0.223","1.075","0.121","0.432","0.432","0.137","1.15","0.053","0.198","0.556","12.851","0.123","144.23","136.622","0.1","87.851","5.8","0","26.9"
"Wheat silage",NA,"0","100","34.108","12.666","67.384","5.02","1.806","0","3.395","10.28","6.618","56.545","4.772","59.142","2.138","1.281","0.71","17.78","3.731","50","50","6","64","75","75","61","0.548","0.282","0.504","1.728","0.38","0.124","0","0.613","0","0.357","0.134","0.57","0.383","0.159","0.159","0.819","2.383","0.047","0.182","1.49","8.168","0","556.227","55.533","0.183","31.312","59","0","0"
"Wheat straw",NA,"0","100","91.77","5.091","40.797","4.955","2.5","0","1.426","7.533","1.642","73.65","7.419","50.041","1.809","0.969","0.422","34.545","1.385","50","50","3","12.1","75","75","98","0.144","0.051","0.144","0.279","0.144","0.034","0","0.178","0","0.144","0.229","0.195","0.325","0.119","0.119","0.526","1.345","0.094","0.109","0.47","5.911","0","214.396","64.14","0.213","17.077","1","0.07","0"
"Whey, wet",NA,"0","0","16.597","6.304","81.38","2.812","50.603","0","3.985","12.717","3.277","1.663","0.6","80.876","2.924","1.968","1.319","6.965","0","0","0","0","100","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.992","0.175","0.175","3.532","2.994","1.042","0.129","0","11.12","0","75.425","2.762","0","30.519","0","0","0"
"Whey, dry",NA,"0","0","93.844","13.906","85.59","0","56.086","0","1.959","12.693","1.28","0.55","0.1","82.3","2.975","2.011","1.356","23.237","0","0","0","0","100","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.613","0.138","0.138","1.362","1.761","1.127","0.214","0","2.17","10.554","44.151","2.307","0.056","20.798","0","0","0"
"Ammonium phosphate (dibasic)","6-00-370","0","0","100","115.9","100","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ammonium phosphate (monobasic)","6-09-338","0","0","100","70.9","100","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ammonium sulfate","6-09-339","0","0","100","134.1","100","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.1","0","1","0","0","0","0","0","0","0","0"
"Bone meal","6-00-400","0","0","97","13.2","40","0","0","0","0","100","0","0","0","0","0","0","0","60","0","0","0","0","100","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","30.71","12.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium carbonate","6-01-069","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","39.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium chloride anhydrous",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","36.11","0","0","63.89","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium chloride dihydrate",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","27.26","0","0","54.96","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium hydroxide",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","54.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium oxide",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","71.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium phosphate (monobasic)","6-01-082","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","17.12","26.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calcium sulfate dihydrate","6-01-089","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","23.28","0","0","0","0","0","18.62","0","0","0","0","0","0","0","0","0","0"
"Cobalt carbonate","6-01-566","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","460000","0","0","0","0","0","0","0","0","0"
"Copper sulfate pentahydrate","6-01-720","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.84","0","254500","0","0","0","0","0","0","0","0"
