"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Alfalfa cubes",NA,"0","100","91.042","18.079","39.296","8.22","0","0","2.131","11.981","1.348","45.461","7.573","56.007","2.025","1.175","0.613","31.012","5.075","30","30","5.5","49.3","75","75","92","1.155","0.474","1.087","1.674","1.088","0.132","0","1.143","0","0.904","0.333","1.291","1.492","0.284","0.284","0.699","2.046","0.163","0.255","0.774","8.538","0","648.518","44.071","0.81","24.343","19.3","1","0"
"Alfalfa dehy",NA,"0","100","93.831","18.493","28","17","0","0","3.994","10.294","0.933","40.37","14.404","62.36","2.255","1.388","0.807","46","5.411","37","37","10","54.1","75","75","6","1.182","0.485","1.111","1.712","1.113","0.135","0","1.169","0","0.925","0.34","1.32","2.228","0.316","0.316","0.267","2.316","0.045","0.28","0.19","11.175","0.13","309","65.25","0.31","50.2","33","0","91"
"Alfalfa fresh",NA,"0","100","30.729","23.082","50","8.672","0","0","1.467","6.233","22.517","37.86","10","63","2.278","1.409","0.826","8","5.668","25","25","5.5","43.5","75","75","82","0.563","0.145","0.722","1.477","0.741","0.282","0","0.965","0","0.762","0.425","0","1.773","0.372","0.372","0","2.923","0.12","0.332","0.65","8.308","0.16","252","39.704","0.18","24.692","155","0","0"
"Alfalfa greenchop",NA,"0","100","40.501","23.142","12.4","6.469","7.1","0","2.467","11.09","2.1","34.385","6.21","59","2.133","1.276","0.706","46","5.411","37","37","10","54.1","75","75","6","1.479","0.606","1.391","2.143","1.393","0.169","0","1.463","0","1.157","0.426","1.652","1.509","0.352","0.352","0.66","2.875","0.074","0.21","0.19","10.5","0.13","309","31","0.31","21","33","0","91"
"Alfalfa hay",NA,"0","100","87.033","19.809","25.186","12.208","8.673","0","1.547","11.871","2.973","41.732","6.77","55.18","1.995","1.147","0.587","25","5.075","30","30","5.5","49.3","75","75","92","1.266","0.519","1.19","1.834","1.192","0.145","0","1.252","0","0.99","0.364","1.414","1.466","0.296","0.296","0.517","2.548","0.1","0.263","0.406","7.823","0","170","44.545","0.55","23.469","19.3","1","0"
"Alfalfa haylage",NA,"0","100","41.039","20.109","25.175","13.735","1.933","0","2.012","12.094","1.88","42.485","6.373","63","2.278","1.409","0.826","46","5.411","37","37","10","54.1","75","75","6","1.285","0.527","1.209","1.862","1.211","0.147","0","1.271","0","1.005","0.37","1.436","1.556","0.33","0.33","0.634","2.752","0.13","0.307","0.19","7.835","0.13","309","42.399","0.31","25.008","33","0","91"
"Almond hulls",NA,"0","100","89.207","5.474","40.917","11.458","15.05","0","2.804","8.295","2.504","38.957","11.056","59.141","2.138","1.281","0.71","46.885","10.815","25","25","6","58.2","75","75","100","0.646","0.131","0.238","0.365","0.276","0.105","0","0.361","0","0.227","0.016","0.301","0.298","0.105","0.105","0.094","2.384","0.024","0.041","0.02","7.058","0","368.115","20.936","0.04","16.257","0","0","0"
"Apple pomace",NA,"0","100","18.487","6.37","20.181","10.625","0","0","6.103","3.138","3.98","45.559","14.855","70.894","2.563","1.662","1.052","56.762","10.677","50","50","5","33","75","75","34","0.18","0.064","0.18","0.35","0.18","0.043","0","0.223","0","0.18","0.287","0.244","0.149","0.086","0.086","0.036","0.83","0.021","0.077","0","8.362","0","105.612","10.794","0","7.844","0","0","0"
"Bakery products",NA,"0","0","88.861","13.144","23.232","5.742","6.317","0","10.036","4.079","37.608","13.865","1.986","91.897","3.322","2.293","1.595","33.416","9.699","16","16","7","81.9","75","75","0","0.627","0.171","0.601","0.982","0.417","0.233","0","0.539","0","0.651","0.131","0.565","0.258","0.15","0.15","0.796","0.533","0.59","0.163","1.342","6.746","0","192.36","44.415","0","43.059","7.7","0","44.9"
"Barley grain",NA,"0","0","89.688","12.778","27.579","2.214","10.65","0","2.198","2.767","56.743","18.29","1.75","84.063","3.039","2.064","1.401","50.768","10.399","30","30","5","79.2","75","75","34","0.617","0.293","0.501","0.873","0.392","0.104","0","0.716","0","0.403","0.161","0.624","0.085","0.132","0.132","0.166","0.526","0.022","0.139","0.35","6.116","0.05","99.396","21.846","1","30.64","3.8","0","26.2"
"Barley grain flaked",NA,"0","0","81.122","12.531","17","5","0","0","2.047","2.867","59.274","26.3","1.905","84","3.037","2.062","1.399","33.071","10.399","30","30","5","79.2","75","75","34","0.605","0.287","0.491","0.856","0.385","0.102","0","0.702","0","0.395","0.158","0.612","0.108","0.155","0.155","0.13","0.559","0.03","0.136","0.35","5.425","0.05","59.5","14.667","0.179","31.2","3.8","0","26.2"
"Barley hay",NA,"0","100","87.989","10.946","44.731","4.116","0","0","2.409","8.361","5.66","56.884","4.323","60.157","2.175","1.315","0.741","32.771","3.593","30","30","3","74.8","75","75","98","0.31","0.109","0.31","0.601","0.31","0.073","0","0.383","0","0.31","0.493","0.419","0.373","0.182","0.182","0.884","1.921","0.226","0.177","1.67","7.054","0","310.184","35.051","0","25.353","15","0","0"
"Barley silage",NA,"0","100","33.632","12.049","65.318","4.917","0","0","3.472","8.645","9.167","54.769","4.767","60.583","2.19","1.329","0.754","20.792","8.266","50","50","4","54","75","75","65","0.208","0.22","0.44","0.765","0.44","0.208","0","0.475","0","0.475","0.163","0.66","0.413","0.176","0.176","0.862","2.06","0.194","0.19","1.405","6.938","0","353.026","38.544","0.15","28.341","0","0","0"
"Barley straw",NA,"0","100","85.068","6.082","48","0.6","0","0","1","12.08","14.875","71.629","5.16","48.271","1.745","0.906","0.363","35.831","2.532","30","30","6","74.6","75","75","34","0.712","0.132","0.223","0.406","0.213","0.071","0","0.314","0","0.172","0.061","0.274","0.516","0.181","0.181","0.39","2.288","0.518","0.207","0","5.1","0","200","42.667","0.448","25.4","0","0","4"
"Beet pulp, dry",NA,"0","0","91.486","9.065","21.894","7.04","8.55","0","1.143","6.844","0.927","41.328","3.935","66.591","2.408","1.525","0.93","53.145","1.684","40","40","8","65.7","75","75","33","0.402","0.17","0.244","0.418","0.272","0.059","0","0.254","0","0.287","0.1","0.408","0.957","0.23","0.23","0.115","0.705","0.19","0.297","0.99","8.404","0","640.718","61.594","0.12","29.913","0.4","0.6","0"
"Beet pulp, wet",NA,"0","0","21.947","9.55","20.782","4.53","23.208","0","0.859","8.585","1.653","48.234","4.368","66.591","2.408","1.525","0.93","55.663","1.684","40","40","8","65.7","75","75","33","0.423","0.179","0.257","0.44","0.286","0.062","0","0.267","0","0.303","0.105","0.43","0.987","0.253","0.253","0.092","0.574","0.099","0.201","0.081","8.787","0","748.175","60.786","0.12","22.56","0.4","0.6","0"
"Bermudagrass fresh",NA,"0","100","34.937","15.157","42.434","6.308","0","0","2.757","8.628","1.785","66.599","5.027","57.318","2.072","1.22","0.654","32.403","3.077","30","30","3","80.8","75","75","41","0.429","0.152","0.429","0.832","0.429","0.102","0","0.53","0","0.429","0.682","0.581","0.483","0.216","0.216","0.758","2.205","0.035","0.274","0","10.748","0","254.677","76.967","0.2","41.377","0","0","0"
"Bermudagrass hay",NA,"0","100","92.991","11.107","32.725","5.347","5.8","0","1.857","7.942","4.783","66.978","5.412","56.299","2.035","1.185","0.622","41.579","3.67","30","30","3","73.3","75","75","98","0.314","0.111","0.314","0.61","0.314","0.074","0","0.389","0","0.314","0.5","0.425","0.488","0.205","0.205","0.739","1.654","0.126","0.398","0.622","10.648","0","217.795","63.109","0.271","34.845","0","0","0"
"Bermudagrass silage",NA,"0","100","39.004","13.482","53.573","7.99","0","0","3.151","8.681","2.595","66.593","6.396","55.377","2.002","1.154","0.593","29.674","2.582","20","20","5","56.1","75","75","41","0.382","0.135","0.382","0.74","0.382","0.09","0","0.472","0","0.382","0.607","0.516","0.509","0.229","0.229","0.706","2.157","0.045","0.241","0.27","13.32","0","536.863","75.308","0","43.869","175.4","0","0"
"Blood meal",NA,"0","0","89.559","95.05","14.177","21.41","0","0","1.209","2.8","0.62","4.533","0","74.617","2.698","1.778","1.154","74.642","1.289","0","0","0","98.6","0","75","0","5.058","6.512","0.888","13.528","9.429","1.08","0","7.935","0","4.775","1.898","9.167","0.141","0.038","0.038","0.316","0.412","0.264","0.65","0.097","4.352","0","2378","5.331","0.801","36.593","0","0","0"
"Bluegrass hay",NA,"0","100","89.321","7.496","25","6.5","0","0","1.4","9.333","0.432","68.833","8","51","1.844","1.003","0.453","37","3.67","30","30","3","73.3","75","75","98","0.212","0.075","0.212","0.412","0.212","0.05","0","0.262","0","0.212","0.337","0.287","0.277","0.125","0.125","0","1.944","0","0.139","0","3.833","0","60","75.545","0","14.636","0","0","0"
"Bluestem fresh",NA,"0","100","51.229","6.521","46","2.2","0","0","1","6","0.816","75","14","53","1.916","1.072","0.518","19","6.031","30","30","3","83.7","75","75","41","0.185","0.065","0.185","0.358","0.185","0.044","0","0.228","0","0.185","0.293","0.25","0.44","0.41","0.26","0","1.31","0.01","0.1","0","0","0","0","0","0","0","0","0","0"
"Bluestem hay",NA,"0","100","89.186","6.015","43","6.5","0","0","1.35","9.7","0.432","69.713","8","50","1.808","0.968","0.42","37","3.67","30","30","3","73.3","75","75","98","0.17","0.06","0.17","0.33","0.17","0.04","0","0.211","0","0.17","0.271","0.23","0.414","0.208","0.208","0","1.11","0.055","0.87","0","9.567","0","60","117.8","0","20.683","0","0","0"
"Brewers dried grains",NA,"0","0","93.163","25.019","17.908","19.25","0","0","8.519","4.569","5.768","52.124","6.653","72.006","2.603","1.697","1.083","59.14","3.101","38","38","6","71.4","75","75","18","0.653","0.368","0.883","2.117","0.538","0.315","0","1.201","0","0.691","0.28","0.946","0.319","0.225","0.225","0.097","0.339","0.024","0.29","1.13","17.638","0.072","327.411","56.089","0.76","214.618","0.8","0","29"
"Brewers wet grains",NA,"0","0","25.96","28.518","11.395","21.754","0.5","0","9.51","4.376","4.81","49.992","6.743","73.876","2.671","1.755","1.134","63.767","3.101","38","38","6","71.4","75","75","18","0.744","0.419","1.007","2.413","0.613","0.359","0","1.369","0","0.787","0.319","1.078","0.346","0.226","0.226","0.089","0.12","0.025","0.319","1.5","17.414","0.072","222.05","51.256","0.76","93.01","0.8","0","29"
"Bromegrass hay",NA,"0","100","88.266","8.337","24.55","7.437","9.85","0","1.644","8.842","2.643","65.921","6.5","51.99","1.88","1.037","0.485","29","3.67","30","30","3","73.3","75","75","98","0.236","0.083","0.236","0.458","0.236","0.056","0","0.292","0","0.236","0.375","0.319","0.554","0.178","0.178","0.19","1.589","0.039","0.168","0","5.959","0","0","67.385","0","16.237","34.6","0","0"
"Bromegrass silage",NA,"0","100","42.05","9.033","50","11.875","0","0","2.8","9.8","4.816","71.05","4.787","55","1.988","1.141","0.582","28","2.582","20","20","5","56.1","75","75","41","0.256","0.09","0.256","0.496","0.256","0.061","0","0.316","0","0.256","0.406","0.346","0.47","0.168","0.168","0","1.668","0.039","0.132","0.27","5","0","120","69","0","16.25","175.4","0","0"
"Buffalo grass",NA,"0","100","93.379","7.6","25","6.1","0","0","3.4","10.1","5.487","65","7.41","54","1.952","1.107","0.55","36","3.631","30","30","3","74","75","75","98","0.215","0.076","0.215","0.417","0.215","0.051","0","0.266","0","0.215","0.342","0.291","0.26","0.3","0.11","0","2.67","0.01","0","0.3","20","20","84","167","0.03","38","8","0","0"
"Cane fresh",NA,"0","100","28.036","11.292","42","10.625","0","0","3.9","8","4.875","60","8","63","2.278","1.409","0.826","13","5.758","25","25","9","79.6","75","75","41","0.32","0.113","0.32","0.62","0.32","0.076","0","0.395","0","0.32","0.508","0.433","0.389","0.241","0.241","0","3.607","0.05","0.143","0","0","0","200","0","0","0","254.4","0","0"
"Cane hay",NA,"0","100","82.792","8.023","36.451","5.878","18.06","0","1.345","11.141","71.4","63.334","4.196","63","2.278","1.409","0.826","37","3.67","30","30","3","73.3","75","75","98","0.227","0.08","0.227","0.44","0.227","0.054","0","0.281","0","0.227","0.361","0.307","0.419","0.234","0.234","0","2.111","0.109","0.105","0","7.731","0","60","69.125","0","21.01","0","0","0"
"Cane silage",NA,"0","100","29.331","7.701","35.183","10.44","0","0","2.4","0","11.4","52.995","19.7","65","2.35","1.474","0.884","27","0.492","20","20","5","72.6","75","75","81","0.544","0.104","0.232","0.33","0.278","0.058","0","0.214","0","0.174","0.058","0.214","0.355","0.293","0.293","0.13","1.906","0.101","0.347","0.3","21.927","0","383","129.867","0.03","14.935","0","0","0"
"Canola grain",NA,"0","0","94.722","23.897","41.476","11.11","0","0","39.788","4.335","1.4","28.248","6.4","109.2","3.948","2.784","1.995","36.993","3.101","38","38","6","71.4","75","75","18","0.624","0.351","0.844","2.022","0.514","0.301","0","1.147","0","0.66","0.268","0.903","0.528","0.35","0.35","0.065","0.847","0.021","0.413","0.083","5.314","0.072","98.089","74.514","0.76","46.521","0.8","0","29"
"Canola meal",NA,"0","0","90.429","40.862","32.173","17.36","8.75","0","7.316","7.409","1.295","30.158","8.834","71.082","2.57","1.668","1.057","42.253","9.245","40","40","6","71.1","75","75","23","2.77","1.651","2.019","3.265","2.725","0.572","0","1.912","0","1.982","0.499","2.632","0.686","0.557","0.557","0.115","1.257","0.055","0.709","0.14","6.461","0","230.511","68.403","1.1","59.839","0","0","0"
"Citrus pulp, dry",NA,"0","0","87.687","6.905","41.056","5.63","0","0","2.44","7.421","1.004","24.018","2.449","69.974","2.53","1.633","1.026","40.314","1.526","50","50","9","66.2","75","75","33","0.306","0.129","0.186","0.318","0.207","0.045","0","0.193","0","0.219","0.076","0.311","1.844","0.125","0.125","0.116","0.98","0.05","0.106","0.185","6.399","0","124.583","9.917","0","12.09","0","0","0"
"Citrus pulp, wet",NA,"0","0","19.405","8.579","56.65","4.48","0.9","0","3.174","6.776","1.702","26.288","3.206","70.199","2.538","1.64","1.033","38.06","1.526","50","50","9","66.2","75","75","33","0.38","0.16","0.231","0.395","0.257","0.056","0","0.24","0","0.272","0.094","0.386","1.285","0.125","0.125","0.111","1.222","0.039","0.109","0.185","5.483","0","120.947","11.887","0","12.107","0","0","0"
"Corn cobs",NA,"0","100","89.258","4.182","37.026","3.395","0","0","0.92","2.561","1.38","78.263","4.054","58.277","2.107","1.252","0.684","30.125","8.706","35","35","4","64","75","75","56","0.079","0.111","0.143","0.602","0.048","0.032","0","0.205","0","0.143","0.016","0.191","0.061","0.052","0.052","0.248","0.886","0.028","0.051","0.13","7.308","0","245.682","13.927","0.08","26.465","1.2","0","0"
"Corn ear corn",NA,"0","0","83.276","8.279","24.68","3.242","0","0","3.603","1.69","60.678","19.405","1.802","84.572","3.058","2.079","1.414","63.595","4.355","18","18","5","85.8","55","75","56","0.151","0.171","0.223","0.888","0.137","0.093","0","0.302","0","0.232","0.031","0.31","0.043","0.116","0.116","0.092","0.445","0.013","0.098","0.19","4.444","0.03","91.617","10.243","0.07","24.953","0.002","0","0"
"Corn earlage",NA,"0","0","62.544","8.09","38.91","2.288","1.286","0","3.545","1.859","60.158","21.043","1.745","84.322","3.049","2.071","1.407","48.626","4.355","18","18","5","85.8","55","75","56","0.147","0.167","0.218","0.868","0.133","0.091","0","0.295","0","0.227","0.03","0.303","0.047","0.115","0.115","0.114","0.473","0.021","0.097","0.19","3.753","0.03","85.17","11.161","0.07","21.557","0.002","0","0"
"Corn germ meal",NA,"0","0","90.591","22.145","29.525","6.423","0","0","11.499","4.311","19.666","39.408","2.442","78.567","2.841","1.899","1.259","47.795","3.329","50","50","5","93","75","75","36","0.702","0.543","0.961","3.592","0.275","0.463","0","1.435","0","0.649","0.082","1.116","0.043","0.304","0.304","0.101","0.694","0.044","0.237","0.085","7.182","0","129.721","16.403","1.111","106.315","29.8","0","32"
"Corn gluten feed and distillers; Golden synergy",NA,"0","0","50.439","24.553","16.3","12","0","0","8.698","4.397","11.5","29.275","4","89","3.218","2.209","1.524","66.603","1.428","17","17","7","66.4","75","75","4","1.019","0.447","0.683","2.227","0.506","0.295","0","1.031","0","0.766","0.403","1.287","0.087","0.341","0.341","0.14","1.167","0.21","0.62","0.18","5.35","0.085","560","17.75","0.4","62.45","1.2","0","49.4"
"Corn gluten feed wet",NA,"0","0","43.759","21.695","59.121","6.954","3.4","0","4.291","6.399","15.229","38.531","1.596","86","3.109","2.121","1.45","34.108","3.165","50","50","5","89.2","75","75","36","1.512","0.473","0.193","1.527","0.325","0.364","0","0.364","0","0.371","0.143","1.154","0.047","0.415","0.415","0.191","1.323","0.163","0.517","0.097","5.41","0.074","152.446","17.423","0.302","62.407","1","0","94"
"Corn gluten feed wet; Sweet Bran",NA,"0","0","60.07","23.765","50.467","6.4","0","0","4.652","6.9","19.488","26.75","2.999","89","3.218","2.209","1.524","23","3.243","40","40","4","72.1","75","75","19","1.844","0.703","0.875","1.559","0.872","0.178","0","1.077","0","0.882","0.285","1.283","0.062","0.396","0.396","0.05","1.394","0.04","0.49","0.11","14","0.07","128","125","0.43","128","0","0","0"
"Corn gluten feed, dry",NA,"0","0","89.822","22.644","51.697","8.852","2.676","0","3.325","8.201","16.917","35.048","1.859","80","2.892","1.942","1.297","37.097","3.165","50","50","5","89.2","75","75","36","1.578","0.494","0.202","1.594","0.34","0.38","0","0.38","0","0.387","0.149","1.205","0.102","0.427","0.427","0.258","1.412","0.296","0.583","0.109","6.302","0.074","133.327","20.065","0.215","68.571","1","0","94"
"Corn gluten meal",NA,"0","0","90.4","68.214","14.741","15.08","0.233","0","2.399","2.914","15.416","8.069","2.262","87.817","3.175","2.175","1.495","69.723","3.329","50","50","5","93","75","75","36","2.162","1.671","2.96","11.064","0.846","1.426","0","4.42","0","1.999","0.252","3.438","0.035","0.085","0.085","0.11","0.257","0.053","0.818","0.085","12.695","0","74.17","5.699","0","29.081","14","0","26"
"Corn grain",NA,"0","0","87.219","8.793","21.082","3.086","1.81","0","3.805","1.436","72.075","9.724","1.18","87.605","3.167","2.168","1.49","65.305","3.859","15","15","5","84.4","75","75","30","0.16","0.181","0.237","0.943","0.145","0.098","0","0.321","0","0.246","0.033","0.33","0.033","0.112","0.112","0.148","0.37","0.035","0.109","0.514","2.631","0.03","49.975","7.585","0.609","20.487","1","0","25"
"Corn grain high-moisture",NA,"0","0","70.544","8.753","29.984","2.525","2.16","0","3.928","1.528","71.299","9.863","1.152","90.373","3.267","2.249","1.558","55.297","5.589","30","30","6","73.9","85","75","0","0.36","0.236","0.337","1.059","0.216","0.087","0","0.437","0","0.291","0.032","0.418","0.025","0.116","0.116","0.084","0.392","0.017","0.1","0.429","2.221","0","49.47","6.31","0","19.443","0","0","0"
"Corn grain steam flaked",NA,"0","0","80.701","8.48","8.201","4.11","0","0","3.189","1.261","76.24","8.965","1.252","95","3.435","2.383","1.669","70.358","3.893","25","25","6","85.8","95","75","48","0.154","0.175","0.228","0.91","0.14","0.095","0","0.31","0","0.237","0.031","0.318","0.022","0.092","0.092","0.081","0.33","0.012","0.096","0.429","2.686","0","33.762","7.14","0","19.756","0","0","0"
"Corn greenchop",NA,"0","100","32.125","7.82","45","5.625","0","0","2.25","3.59","32.285","44.359","3.146","67.3","2.433","1.548","0.951","22","6.02","30","30","6","64.4","75","75","81","0.146","0.084","0.188","0.5","0.167","0.063","0","0.23","0","0.167","0.009","0.25","0.343","0.221","0.221","0.18","1.581","0.01","0.118","0.097","4.18","0","131","23.5","0","17.7","18","0.1","0"
"Corn screenings",NA,"0","0","86.154","8.844","3.1","7.031","2.8","0","3.319","1.868","67.742","14.76","0.2","72.81","2.632","1.722","1.105","56.96","3.893","25","25","6","85.8","95","75","48","0.161","0.182","0.238","0.949","0.146","0.099","0","0.323","0","0.248","0.033","0.332","0.063","0.12","0.12","0.15","0.389","0.031","0.104","0.429","3.075","0","30","13.938","0","24.412","0","0","0"
"Corn silage",NA,"0","50","33.071","8.238","55.75","3.689","4.256","0","3.254","4.244","32.581","42.976","3.167","67.684","2.447","1.56","0.962","25.378","3.397","30","30","6","66.2","75","75","81","0.154","0.088","0.198","0.527","0.175","0.066","0","0.242","0","0.175","0.009","0.264","0.239","0.169","0.169","0.247","1.072","0.017","0.102","0.715","6.21","0","187.103","32.798","0.159","26.415","58.1","0","0"
"Corn snaplage",NA,"0","0","58.94","8.075","42.899","2.219","0","0","3.46","1.985","57.024","23.277","1.946","81.97","2.964","2.001","1.348","44.67","4.355","18","18","5","85.8","55","75","56","0.147","0.166","0.217","0.866","0.133","0.09","0","0.295","0","0.226","0.03","0.303","0.052","0.114","0.114","0.129","0.509","0.012","0.097","0.19","3.787","0.03","107.924","11.975","0.07","22.475","0.002","0","0"
"Corn stalklage",NA,"0","100","40.741","6.813","49.937","5.303","0","0","1.987","12.147","5.98","63.782","6.122","53.574","1.937","1.092","0.536","29.015","5.142","25","25","4","74.8","75","75","81","0.127","0.073","0.164","0.436","0.145","0.055","0","0.2","0","0.145","0.007","0.218","1.759","0.224","0.224","0.527","1.621","0.239","0.101","0","7.807","0","1021","63.888","0","30.022","0","0","0"
"Corn stalks",NA,"0","100","85.809","6.071","42.148","6.09","3.1","0","1.439","11.103","10.801","70.831","6.309","52.653","1.904","1.06","0.507","36.302","2.36","30","30","5","69.2","75","75","100","0.114","0.065","0.146","0.389","0.129","0.049","0","0.178","0","0.129","0.007","0.194","0.551","0.205","0.205","0.42","1.254","0.067","0.085","0.11","6.47","0","984.149","62.485","0.08","24.161","0","0","0"
"Corn steep",NA,"0","0","46.406","31.781","21.167","8.75","15.027","0","4.512","11.293","11.4","3.547","0.636","98","3.543","2.469","1.74","59","3.329","50","50","5","93","75","75","36","1.007","0.779","1.379","5.155","0.394","0.664","0","2.059","0","0.931","0.118","1.602","0.099","0.899","0.899","0.404","3.192","0.588","1.186","0.133","10.186","0","159","42.783","0","121.044","14","0","26"
"Cotton burrs",NA,"0","100","90.546","8.663","20","32.083","2.7","0","2.478","15.34","6.033","60.896","16.596","45.2","1.634","0.796","0.259","50","10.815","25","25","6","58.2","75","75","100","1.023","0.208","0.376","0.578","0.437","0.165","0","0.571","0","0.359","0.026","0.476","1.4","0.307","0.307","0.511","2.264","0.041","0.315","0.445","5.662","0","131","44.644","0.02","22.172","0","0","0"
"Cotton gin trash",NA,"0","100","90.867","12.29","28.999","19.688","0","0","3.642","12.055","1.06","60.57","15.845","48.501","1.754","0.915","0.371","63.931","10.815","25","25","6","58.2","75","75","100","1.451","0.295","0.533","0.82","0.621","0.235","0","0.81","0","0.509","0.037","0.675","1.57","0.305","0.305","0.466","1.864","0.051","0.389","0.03","11.285","0","818.756","73.148","0.49","28.274","0","0","0"
"Cottonseed hulls",NA,"0","100","91.429","6.685","21.506","17.031","0","0","2.709","3.616","1.131","81.072","19.286","42","1.518","0.679","0.148","70.123","10.815","25","25","6","58.2","75","75","100","0.789","0.16","0.29","0.446","0.338","0.128","0","0.441","0","0.277","0.02","0.367","0.221","0.219","0.219","0.099","1.201","0.023","0.112","0.02","5.497","0","101.374","20.7","0.02","17.699","0","0","0"
"Cottonseed meal",NA,"0","0","88.585","44.976","16.904","14.311","0","0","3.932","7.526","1.697","33.598","8.513","69.645","2.518","1.622","1.017","42.7","7.301","25","25","6","75","75","75","36","4.678","1.412","1.696","2.847","1.732","0.283","0","2.631","0","1.552","0.783","2.37","0.281","0.629","0.629","0.079","1.56","0.139","0.431","0.53","12.443","0","149.917","22.301","1.29","63.896","0","0","0"
"Cottonseed whole",NA,"0","0","92.632","22.865","32.767","22.867","0","0","19.447","4.116","2.2","47.821","6","93","3.362","2.325","1.621","30.436","7.446","25","25","6","75.9","75","75","100","2.378","0.718","0.862","1.447","0.88","0.144","0","1.338","0","0.789","0.398","1.205","0.216","0.38","0.38","0","1.117","0.076","0.387","0","8.95","0","160","21.696","0","29.438","0","0","0"
"Distillers grain plus soluble, dry",NA,"0","0","89.986","30.794","16.528","27.847","1.157","0","10.732","5.322","5.879","33.659","4.958","89","3.218","2.209","1.524","67.929","1.442","17","17","7","56.5","75","75","4","1.278","0.56","0.856","2.793","0.634","0.37","0","1.293","0","0.961","0.505","1.614","0.051","0.325","0.325","0.271","1.053","0.18","0.657","0.721","6.694","0.085","103.413","22.039","1.135","63.336","1.2","0","49.4"
"Distillers grains plus soluble, modified",NA,"0","0","47.832","29.077","6.692","2.1","0","0","10.221","6.645","3.365","28.726","4.182","93","3.362","2.325","1.621","72.808","1.442","17","17","7","56.5","75","75","4","1.207","0.529","0.808","2.637","0.599","0.349","0","1.221","0","0.907","0.477","1.524","0.084","0.379","0.379","0.16","1.266","0.386","0.67","0.18","7.03","0.085","560","19.31","0.4","72.944","1.2","0","49.4"
"Distillers grains plus solubles, wet",NA,"0","0","31.441","30.635","15.575","26.413","0.901","0","10.84","5.131","6.056","31.524","4.699","98","3.543","2.469","1.74","69.928","1.428","17","17","7","66.4","75","75","4","1.271","0.558","0.852","2.779","0.631","0.368","0","1.287","0","0.956","0.502","1.605","0.055","0.351","0.351","0.172","0.998","0.197","0.645","0.108","7.016","0.085","154.915","30.47","0.986","55.064","1.2","0","49.4"
"Distillers solubles",NA,"0","0","30.893","18.938","43.638","10.399","4.017","0","16.849","9.108","10.682","4.706","1","98","3.543","2.469","1.74","54.911","0.558","17","17","7","59.7","75","75","4","0.786","0.345","0.526","1.718","0.39","0.227","0","0.795","0","0.591","0.311","0.992","0.108","0.692","0.692","0.369","2.338","0.422","0.825","0.18","7.411","0.085","560","35.815","6.28","101.609","1.2","0","49.4"
"Feather meal",NA,"0","0","92.004","91.071","10.311","113.62","17.7","0","9.671","2.753","0.735","25.8","0","79.117","2.86","1.915","1.274","70.84","1.747","0","0","0","51.4","0","75","23","6.757","0.856","4.189","7.568","2.341","0.446","0","4.745","0","3.798","0.729","7.24","0.762","0.083","0.083","0.273","0.242","0.215","1.693","0.125","12.203","0.047","283.155","56.591","0.983","171.109","0","0","0"
"Fescue hay",NA,"0","100","88.93","9.22","25","8.65","0","0","2.1","8.35","3.344","64.99","3.096","58.28","2.107","1.252","0.684","29","3.67","30","30","3","73.3","75","75","98","0.301","0.107","0.301","0.585","0.301","0.071","0","0.373","0","0.301","0.479","0.408","0.48","0.22","0.17","1.45","1.73","0.1","0.16","0","4.75","0","0","90.31","0","21.32","34.6","0","0"
"Field Peas High CP",NA,"0","0","88.173","25.166","20","8","0","0","0.95","7","43.9","13.1","5.824","75.8","2.74","1.814","1.186","43","7.301","25","25","6","75","75","75","36","2.617","0.79","0.949","1.593","0.969","0.159","0","1.472","0","0.868","0.438","1.326","0.136","0.145","0.145","0","1.037","0.02","0.182","0","5.9","0","160","15.5","0","32.3","0","0","0"
"Field Peas Low CP",NA,"0","100","89.86","14.661","28","17","0","0","1.9","9.9","46.275","55.4","14.404","59","2.133","1.276","0.706","46","5.411","37","37","10","54.1","75","75","6","0.937","0.384","0.881","1.358","0.883","0.107","0","0.927","0","0.733","0.27","1.047","0.443","0.277","0.277","0","0.95","0.08","0.21","0.19","10.5","0.13","309","31","0.31","21","33","0","91"
